"year","source","paper_id","discipline","title_data","type","author1_data"
"            2000","          ISRM ","          IS-2000-411 ","reservoir","Slope Deformation Study With Ann Method In Tgp (Three Gorges Project)","          Conference Paper","Xu, Weiya, Hohai University"
"            1996","          ISRM ","          EUROCK-1996-071 ","digital|wireless|AVO|pattern|Quantization","Integrated Intelligent Modelling On Slope Stability Analysis","          Conference Paper","Feng, Xia-Ting, Northeastern University"
"            2017","          URTEC ","          2695422-MS ","reservoir","High Resolution Seismic Data Derived From Prestack Inversion and Machine Learning to Accurately Position Horizontal Wells in the Midland Basin, Texas","          Conference Paper","Meek, Robert, Pioneer Natural Resources"
"            2010","          SPE ","          128517-MS ","logging","Application of Group Method of Data Handling for Geological Modeling of Vankor Field","          Conference Paper","Semenov, Andrey A., Rosneft"
"            2015","          ISRM ","          13CONGRESS-2015-374 ","petrophysics","Introduction of an Objective Matrix Coding Method for Rock Engineering Systems Through Self Organising Maps","          Conference Paper","Ferentinou, M., University of KwaZulu Natal"
"            2017","          SPE ","          186062-MS ","petrophysics","A New Technique to Develop Rock Strength Correlation Using Artificial Intelligence Tools","          Conference Paper","Tariq, Zeeshan, King Fahd University of Petroleum & Minerals"
"            2009","          SPE ","          120128-MS ","drilling","Pipe Sticking Prediction and Avoidance Using Adaptive Fuzzy Logic Modeling","          Conference Paper","Murillo, Adriana,"
"            2016","          SEG ","          2016-13884370 ","reservoir","An efficient method of fluid discrimination using Poisson impedance and multiattribute inversion","          Conference Paper","Ming, Jun, CNOOC"
"            2013","          OMC ","          2013-046 ","drilling","Event Automatic Picking & Tracking Seismic Horizon Using A Linear Prediction Technique","          Conference Paper","Idir, S., Sonatrach"
"            2010","          ARMA ","          10-204 ","petrophysics","Rock Fragmentation Module In 3-D Rock-fall Analysis","          Conference Paper","Wang, Y., Shannon & Wilson Inc., The University of Texas"
"            2004","          SPE ","          90266-MS ","production","Zonal Allocation and Increased Production Opportunities Using Data Mining in Kern River","          Conference Paper","Popa, Carrie, ChevronTexaco"
"            2010","          SPE ","          133436-MS ","drilling","Use of Fuzzy Logic for Predicting Two Phase Inflow Performance Relationship of Horizontal Oil Wells","          Conference Paper","Ebrahimi, Mohsen, ACECR- Production Technology Research Institite"
"            2017","          SPE ","          185937-MS ","drilling","Estimating Fluid Properties Using Surrogate Models and Fluid Database","          Conference Paper","Arief, Ibnu Hafidz, Statoil ASA"
"            1998","          SPE ","          39962-MS ","reservoir","Methods of Neuro-Simulation for Field Development","          Conference Paper","Hari, D., Pennsylvania State University"
"            1995","          SPE ","          30975-MS ","drilling","Virtual Measurement in Pipes: Part 1-Flowing Bottom Hole Pressure Under Multi-Phase Flow and Inclined Wellbore Conditions","          Conference Paper","Ternyik, J. IV, West Virginia U."
"            2015","          SPE ","          174031-MS ","reservoir","Practical Application of Data-Driven Modeling Approach during Waterflooding Operations in Heterogeneous Reservoirs","          Conference Paper","Amirian, Ehsan, University of Calgary"
"            1998","          SPE ","          50681-MS ","production","Multiphase Metering: Experimental Results From the Analysis of Acoustic Noise Through a Choke","          Conference Paper","Piantanida, Marco, ENI-AGIP"
"            2006","          SPE ","          100995-MS ","reservoir","An Integrated Approach to Reservoir Performance Monitoring and Analysis","          Conference Paper","Sugai, Keiichiro, Arabian Oil Co. Ltd."
"            1997","          SPE ","          38307-MS ","geology","Statistical Characterization of Metal-Contaminated Fills","          Conference Paper","Patzek, Tad W., University of California"
"            1993","          SPE ","          26246-MS ","production","Rod Pumping Expert System","          Conference Paper","Martinez, E.R., Corpoven S.A."
"            2008","          SEG ","          2008-1551 ","reservoir","Multiple Prediction And Reservoir Characterization of a Tight Sand Reservoir","          Conference Paper","Zhao, Bo, ExxonMobil Exploration"
"            1999","          SPE ","          56658-MS ","reservoir","Electrofacies Characterization and Permeability Predictions in Carbonate Reservoirs: Role of Multivariate Analysis and Nonparametric Regression","          Conference Paper","Lee, Sang Heon, Texas A&M U."
"            2017","          ISOPE ","          I-17-413 ","surface","Abnormal State Diagnosis for Vibration Signal Using Probability Density Estimation and DTW","          Conference Paper","Hong, Kyu-Tack, INHA University"
"            2016","          SPE ","          183556-MS ","other","GUPCO Experience with Giant Fields: Case Studies from Egypt","          Conference Paper","Noureldien, Darhim M., GUPCO"
"            2001","          SPE ","          69625-MS ","drilling","Improved Reservoir Permeability Models From Flow Units And Soft Computing Techniques: A Case Study, Suria And Reforma-Libertad Fields, Colombia","          Conference Paper","Soto B., R., ECOPETROL-ICP"
"            2013","          SEG ","          2013-0409 ","reservoir","Simulating Porosity and Permeability of NMR Log in Carbonate Reservoirs of Campos Basin – Southeast Brazil - Using Conventional Logs and Artificial Intelligence Techniques","          Conference Paper","Briones, Victor, LENEP/UENF"
"            2011","          SPE ","          140029-MS ","drilling","Application of Artificial Intelligent Systems in ROP Optimization: a Case Study","          Conference Paper","Bataee, M., Petroleum University of Technology"
"            2016","          SEG ","          2016-13947240 ","geology","Predictive mapping using self-organizing maps: An example of mapping the midcontinent rift at depth","          Conference Paper","Carter-Mcauslan, Angela, Memorial University of Newfoundland"
"            2012","          SPE ","          149594-MS ","production","Production Monitoring Using Artificial Intelligence","          Conference Paper","Olivares Velazquez, Gonzalo Jesus, Pemex E&P"
"            2015","          SPE ","          172729-MS ","geology","Productivity Index Prediction for Oil Horizontal Wells Using different Artificial Intelligence Techniques","          Conference Paper","Alarifi, Sulaiman, KFUPM"
"            1998","          SPE ","          39805-MS ","surface","Modeling Nonlinear Phenomena","          Conference Paper","Kapur, Loveena, The University of Texas at Austin"
"            2002","          ISOPE ","          I-02-480 ","drilling","Fatigue Life Calculation For a Ship Subjected to Hull Girder Vibration","          Conference Paper","Kim, Pan-Young, Structure Research Dept, Hyundai Heavy Industries Co., Ltd"
"            1995","          ISOPE ","          I-95-138 ","drilling","Study On the Control System of the Underwater Manipulator","          Conference Paper","Shintaku, Eiji, Hiroshima University"
"            2013","          ISRM ","          SINOROCK-2013-031 ","drilling","Study on Rock Classification with Physical Property of Coal Reservoir","          Conference Paper","Guo, J., Wuhan Polytechnic University"
"            2016","          ISOPE ","          I-16-178 ","drilling","Pod Propulsion Small Surface USV Heading Control Research","          Conference Paper","Yan, Dandan, Wuhan University of Technology; Hubei Inland Shipping Technology Key Laboratory"
"            2000","          SPE ","          63065-MS ","reservoir","Surrogate Modeling-Based Optimization for the Integration of Static and Dynamic Data Into a Reservoir Description","          Conference Paper","Queipo, Nestor V., University of Zulia"
"            1999","          ISRM ","          9CONGRESS-1999-222 ","reservoir","Geological Structure, Seismic Energy Release And Forecasting of Rockburst Occurrence","          Conference Paper","Rudajey, V., Institute of Rock Surface and Mechanics, Academy of Sciences of the Czech Republic, Prague"
"            2013","          SPE ","          163614-MS ","reservoir","A Black-Box Interpolation Method To Accelerate Reservoir Simulation Solutions","          Conference Paper","Chen, Han, Massachusetts Institute of Technology"
"            2010","          ISOPE ","          I-10-489 ","geophysics","Predictive Models For Estimation of Breaking Wave Characteristics","          Conference Paper","Delavari, E., Department of Civil Engineering, Sahand University of Technology"
"            2015","          SPE ","          177318-MS ","drilling","Understanding the Impact of Rock Properties and Completion Parameters on Estimated Ultimate Recovery in Shale","          Conference Paper","Javadi, Faegheh, Eclipse Resources Inc."
"            2014","          URTEC ","          1922498-MS ","logging","Statistical Characterization and Geological Correlation of Wells Using Automatic Learning Gaussian Mixture Models","          Conference Paper","Lubo, David, University of Oklahoma and Simon Bolivar University"
"            2015","          SPE ","          172536-MS ","production","Design Optimization of Electric Centrifugal Pump by Multiple Surrogate Models","          Conference Paper","Adhav, R., MS researcher, IIT Madras"
"            2010","          SPE ","          127919-MS ","reservoir","Analysis of Data from the Barnett Shale Using Conventional Statistical and Virtual Intelligence Techniques","          Conference Paper","Awoleke, Obadare Olusegun, Texas A&M U."
"            2016","          SPE ","          180084-MS ","reservoir","Performance of CO2-EOR and Storage Processes Under Uncertainty","          Conference Paper","Ampomah, W., Petroleum Recovery Research Center"
"            2010","          SPE ","          132643-MS ","production","Intelligent Time-Successive Production Modeling","          Conference Paper","Khazaeni, Yasaman, West Virginia University"
"            2007","          SPE ","          105824-MS ","reservoir","Assessing Multiple Resolution Scales in History Matching With Metamodels","          Conference Paper","Rodriguez, Adolfo Antonio, U. of Texas Austin"
"            2007","          SEG ","          2007-1515 ","other","Fusion Based Classification Method And Its Application","          Conference Paper","Jin, Long, Jackson School of Geosciences, The University of Texas at Austinproduction."
"            2006","          SEG ","          2006-1113 ","drilling","Providing Spatial Coherence Information to Fault Meta-Attribute","          Conference Paper","Machado, Marcos, Petrobras"
"            2001","          SPE ","          69483-MS ","drilling","Reservoir Geophysics: Seismic Pattern Recognition Applied to Ultra-Deepwater Oilfield in Campos Basin, Offshore Brazil","          Conference Paper","Johann, Paulo, Petrobras S.A."
"            2008","          SPE ","          117762-MS ","stimulation","Optimized Design of Cyclic Pressure Pulsing in a Depleted, Naturally Fractured Reservoir","          Conference Paper","Artun, Emre, Pennsylvania State U."
"            2012","          CMTC ","          151307-MS ","reservoir","Implementing Simulation and Artificial Intelligence Tools To Optimize the Performance of the CO2 Sequestration in Coalbed Methane Reservoirs","          Conference Paper","Mohammadpoor, Mehdi, University of Regina"
"            2015","          URTEC ","          2150079-MS ","production","Finding the Key Drivers of Oil Production through SAS Data Integration and Analysis","          Conference Paper","Rollins, Beau, Devon Energy"
"            2007","          SEG ","          2007-1103 ","geophysics","Artificial Intelligence Based Automated First Break Picking And Quality Control","          Conference Paper","Khan, Khalid Amin, Petro Research and Training Institute - Oil and Gas Development Company Ltd"
"            2016","          IPTC ","          18585-MS ","reservoir","An Analysis of Multiplicative Schwarz Procedure in Coupling of Reservoir and Networks in Next-Generation Reservoir Simulators","          Conference Paper","Temizel, Cenk, Aera Energy"
"            2010","          SPE ","          130961-MS ","reservoir","Mechanisms and Prevention of Damage for Formations with Low-porosity and Low-permeability","          Conference Paper","Geng, Jiaojiao, China U. of Petroleum Beijing"
"            2010","          SPWLA ","          2010-82643 ","drilling","Using Borehole Images To Improve Permeability Estimates","          Conference Paper","Harvey, Nicholas, Target Oilfield Services"
"            2016","          SPE ","          183145-MS ","reservoir","Integration and Data Analysis of Conventional Core Data with NMR and CT Data to Characterize An Evaporitic Carbonate Reservoir.","          Conference Paper","Fitzsimons, Daniel, Wintershall Middle East GmbH"
"            1997","          SPE ","          38855-MS ","reservoir","EOS Simulation and GRNN Modeling of the Behavior of Retrograde-Gas Condensate Reservoirs","          Conference Paper","Elsharkawy, Adel M., Kuwait University"
"            2012","          ARMA ","          2012-244 ","drilling","Real-time Prediction of Rate of Penetration During Drilling Operation In Oil And Gas Wells","          Conference Paper","Jahanbakhshi, R., Young Researchers Club, Science and Research Branch, Islamic Azad University"
"            1996","          SPE ","          36721-MS ","reservoir","Horizontal Spacing, Depletion, and Infill Potential in the Austin Chalk","          Conference Paper","Kyte, D.G., Union Pacific Resources Co."
"            2013","          SPE ","          163584-MS ","reservoir","Unlocking Fast Reservoir Predictions via Nonintrusive Reduced-Order Models","          Conference Paper","Klie, Hector, ConocoPhilips"
"            2008","          NACE ","          08166 ","reservoir","Complementing Rbi Methodology In Predicting Materials Behavior With A Sophisticated Knowledge Management Tool","          Conference Paper","Renner, M., Bayer Technology Services GmbH"
"            2009","          ISRM ","          SINOROCK-2009-150 ","surface","Prediction of Specific Charge In Tunnel Blasting Using ANNs","          Conference Paper","Jafari, A., University of Tehran"
"            2010","          SPE ","          126191-MS ","reservoir","Difficulties in Using Geostatistical Models in Reservoir Simulation","          Conference Paper","Rasouli, Vamegh, Curtin U. of Technology"
"            2006","          SEG ","          2006-1003 ","reservoir","Mapping Thin Sandstone Reservoirs: Application of 3-D Visualization And Spectral Decomposition Techniques","          Conference Paper","Harilal, _, Oil and Natural Gas Corporation Limited"
"            2008","          SEG ","          2008-1471 ","reservoir","Seismic Attributes Used For Reservoir Simulation: Application to a Heavy Oil Reservoir In Canada","          Conference Paper","Dumitrescu, Carmen C., Sensor Geophysical Ltd"
"            2010","          SPE ","          131253-MS ","drilling","Comparison of the Penetration Rate Models Using Field Data for One of the Gas Fields in Persian Gulf Area","          Conference Paper","Rahimzadeh, Hedayat, Petroleum U. of Tech Iran"
"            2013","          SPE ","          166793-MS ","drilling","Formation Prediction Model based on Drill String Vibration Measurements Using Laboratory Scale Rig","          Conference Paper","Fruhwirth, Rudolf Konrad, Neuro Genetic Systems"
"            1993","          ISRM ","          EUROCK-1993-143 ","petrophysics","Report: Expert Systems As a Guide to Safer Rock Excavation Design","          Conference Paper","Coulthard, M.A., CSIRO Division of Exploration and Mining, Melbourne, Vic."
"            2008","          SPE ","          113401-MS ","reservoir","Application of Bayesian Networks for Predicting the Performance of Gel-Treated Wells in the Arbuckle Formation, Kansas","          Conference Paper","Ghoraishy, Sayed Mojtaba, University of Kansas"
"            2006","          PETSOC ","          2006-012 ","reservoir","Applications of the Soft Computing in the Automated History Matching","          Conference Paper","Silva, P.C., DEP/FEM/UNICAMP"
"            2010","          ISRM ","          ISRS-2010-072 ","stimulation","Classification Method Study of Joint Coal Fracture Based On Hoek-Brown Criterion","          Conference Paper","Lisong, Zhang, China University of Petroleum"
"            2016","          OTC ","          26450-MS ","stimulation","Application of Artificial Intelligence for Water Coning Problem in Hydraulically Fractured Tight Oil Reservoirs","          Conference Paper","Kalam, Shams, King Fahd University of Petroleum & Minerals"
"            2007","          ISOPE ","          I-07-451 ","drilling","Research On On-Line Inner Corrosion Monitoring Technology of Pipeline","          Conference Paper","Huang, Yi, Dalian University of Technology"
"            2011","          SPE ","          143526-MS ","reservoir","Integrated Geo-Statistical Modeling-an Effective Tool to Meet the Exploration Challenge of Low Porosity Carbonate Reservoir within Najmah-Sargelu Formation, Kuwait.","          Conference Paper","Nath, Prabir Kumar, Kuwait Oil Company"
"            2002","          SPE ","          75145-MS ","drilling","Regional Data Analysis to Better Predict Drilling Success: Brushy Canyon Formation, Delaware Basin, New Mexico","          Conference Paper","Balch, R.S., New Mexico Petroleum Recovery Research Center"
"            2013","          URTEC ","          1611038-MS ","flow assur","A Workflow for Predicting Porous Sand via Seismic Attribute Analysis of a Missourian Age Mid-Continent Wash","          Conference Paper","Fairfield, Ryan, SM Energy Mid-Continent"
"            2015","          SEG ","          2015-5930003 ","drilling","Linking for Rate of Penetration to Seismic Attributes and Mechanical Properties in the Mississippi Lime, OK","          Conference Paper","Qi, Xuan, University of Oklahoma"
"            2010","          ISOPE ","          I-10-196 ","reservoir","A Power Forecasting Method of Wave Power Generation In Little Wind Water Areas","          Conference Paper","Xiao, Wenping, Department of Naval and Ocean Engineering, Civil Engineering and Traffic School, South China University of Technology"
"            2013","          SPE ","          168109-MS ","reservoir","Applying Artificial Intelligence Techniques to Develop Permeability Predictive Models using Mercury Injection Capillary-Pressure Data","          Conference Paper","Nooruddin, Hasan A., Saudi Aramco"
"            2000","          NACE ","          00473 ","flow assur","Review of Computer Models for Applications in Corrosion Science and Engineering","          Conference Paper","Srinivasan, Sridhar, InterCorr International Inc."
"            2011","          SPE ","          142040-MS ","stimulation","Optimization Of The Design Of Transverse Hydraulic Fractures In Horizontal Wells Placed In Dual Porosity Tight Gas Reservoirs","          Conference Paper","Gorucu, Seyhan Emre, Pennsylvania State U."
"            2015","          PSIG ","          1525 ","reservoir","Accurate Natural Gas Load Hourly Forecasting Using ANN Model Trained with Multiple Parameters","          Conference Paper","Qian, Dongmin, Energy Solutions International Inc."
"            2010","          ISRM ","          ARMS6-2010-065 ","other","Application Of Support Vector Machine In Slope Engineering","          Conference Paper","Zhao, Hongbo, School of Civil Engineering, Henan Polytechnic University"
"            2006","          SPE ","          99261-MS ","reservoir","Novel Approach to Predict Potentiality of Enhanced Oil Recovery","          Conference Paper","Hou, Jian, China U. of Petroleum"
"            2017","          ARMA ","          2017-0771 ","digital|wireless|AVO|pattern|Quantization","An Artificial Intelligent Approach to Predict Static Poisson's Ratio","          Conference Paper","Elkatatny, S. M., KFUPM"
"            1994","          SPWLA ","          1994-KKK ","reservoir","Multidimensional Crossplot With Image Vision Technique: Application In The Complex Lithological Reservoirs","          Conference Paper","Da-li, Wang, Jianghan Well Logging Institute"
"            2017","          URTEC ","          2667653-MS ","drilling","Source Rock Reservoir Characterization Using Geology, Geochemical and Drilling Data","          Conference Paper","Shelley, Robert, StrataGen"
"            1997","          SPE ","          39231-MS ","drilling","A New Approach for the Prediction of Rate of Penetration (ROP) Values","          Conference Paper","Bilgesu, H.I., West Virginia U."
"            2013","          IPTC ","          16446-MS ","drilling","Soft Computation Application to Optimize Drilling Bit Selection Utilizing Virtual Inteligence and Genetic Algorithms","          Conference Paper","Jamshidi, Emad, National Iranian Oil Co."
"            2011","          SPE ","          148378-MS ","stimulation","Permeability Determination in Fractured & Non-Fractured Carbonate Reservoir; Using Innovative Multi Passes Analysis Approach of Basic Log Data","          Conference Paper","Al-Farisi, Omar, Abu Dhabi Marine Operating Co."
"            2006","          PETSOC ","          2006-201 ","reservoir","Predicting Waterflood Responses for Pekisko B.","          Conference Paper","Fedenczuk, L., Gambit Consulting Ltd."
"            2014","          SEG ","          2014-1123 ","reservoir","Integrating Airborne Geophysics with Landsat TM Imagery and Geology for Assessing the Mineral Potential of the Iullemmeden Basin, Niger.","          Conference Paper","Nasreddine Bournas, Nasreddine, Geotech Ltd"
"            2012","          SPE ","          163330-MS ","drilling","ROP Modeling using NeuralNetwork and Drill String Vibration Data","          Conference Paper","Elahifar, Behzad, University of Leoben"
"            2009","          SEG ","          2009-1915 ","drilling","Extrapolation of Log Properties By Integrating Fuzzy-self Organizing Maps And Local Linear Modeling","          Conference Paper","Eftekharifar, Mehdi, University of Houston"
"            2011","          ISOPE ","          I-11-513 ","geophysics","Application of Experimental Design And Genetic Algorithms Methods For the Robust Design In 2D Numerical Wave Tank","          Conference Paper","Liu, Tsung-Lung, Department of Power Vehicle and Systems Engineering, CCIT, National Defense University"
"            2015","          URTEC ","          2166588-MS ","reservoir","Bakken Well Performance Predicted From Shale Capacity","          Conference Paper","Newgord, C., SIGMA"
"            2015","          SPE ","          176820-MS ","drilling","Drilling and Completion Optimization in Unconventional Reservoirs with Data-Driven Models","          Conference Paper","Holdaway, Keith R., SAS Institute Inc."
"            2016","          SPE ","          181049-MS ","reservoir","Reservoir Uncertainty Analysis: The Trends from Probability to Algorithms and Machine Learning","          Conference Paper","Ani, Maureen, Robert Gordon University"
"            2002","          SPE ","          78710-MS ","reservoir","A New Approach for Reservoir Characterization","          Conference Paper","Aminian, K., West Virginia University"
"            2001","          SPE ","          72360-MS ","production","A New and Realistic Approach to Pumping Unit Optimization through the Use of Intelligent Systems","          Conference Paper","Hosn, Nadim A., Chevron USA Production Company"
"            2016","          SPE ","          182745-MS ","drilling","Harnessing the Power of Type-2 Fuzzy Logic System to Achieve Improved Permeability Prediction Accuracy in a Hybrid Setting","          Conference Paper","Olatunji, S. O., College of Computer Science & IT, University of Dammam"
"            2004","          SEG ","          2004-2578 ","logging","The Impact of High Technology to Add Value to Existing Data","          Conference Paper","Adriana, Anguiano-Rojas R., Pemex Exploracion y Produccion"
"            2013","          ISRM ","          SINOROCK-2013-024 ","reservoir","Estimation of Rock Mass Deformation Modulus in Bakhtiary Dam Project in Iran","          Conference Paper","Sanei, M., Isfahan University of Technology"
"            2016","          SEG ","          2016-13685551 ","geophysics","Using constrained inversion of gravity and magnetic field to produce a 3D litho-prediction model","          Conference Paper","Mahmoodi, Omid, Saskatchewan Geological Survey"
"            1998","          SPE ","          39563-MS ","other","An Integrated Approach to Estimate Well Interactions","          Conference Paper","Panda, M.N., Arco Exploration & Production Technology"
"            2004","          ISOPE ","          I-04-107 ","reservoir","Application of the Mechanical Model For Ice Scour to a Field Site And Simulation Method of Scour Depths","          Conference Paper","Kioka, S., Civil Engineering Research Institute of Hokkaido"
"            2017","          SPE ","          183803-MS ","drilling","Progressive-Recursive Self-Organizing Maps PR-SOM for Identifying Potential Drilling Target Areas","          Conference Paper","Dossary, Mubarak, Saudi Aramco"
"            2007","          SPE ","          106057-MS ","reservoir","3D Porosity Estimation Using Multi Attribute Analysis Methods in One of Persian Gulf Oil Fields","          Conference Paper","Khoshdel, Hossein, Petroleum U. of Tech Iran"
"            2013","          SPE ","          164031-MS ","reservoir","Calibration of Static Reservoir Models with Dynamic Data for Efficient Tight-Gas Field Development (Wyoming, US)","          Conference Paper","Merletti, German D., BP America"
"            2014","          OTC ","          24803-MS ","production","Hydraulic Monitoring and Well Control Event Detection Using Model Based Analysis","          Conference Paper","Todorov, D., TDE Thonhauser Data Engineering GmbH"
"            2016","          SPE ","          180803-MS ","drilling","Rock Mechanical Properties of Shallow Unconsolidated Sandstone Formations","          Conference Paper","Ramcharitar, Kamlesh, Petrotrin"
"            2002","          SPE ","          77877-MS ","stimulation","A Nested Neuro-Fractal-Stochastic Technique for Modeling Naturally Fractured Reservoirs","          Conference Paper","Tran, Nam H., The University of New South Wales, Sydney"
"            2011","          SEG ","          2011-1363 ","other","Classification of MEC With the ALLTEM At Camp Stanley, Texas","          Conference Paper","Asch, Theodore, U.S. Geological Survey"
"            2007","          ARMA ","          07-037 ","reservoir","Analysis of Permeability Using BPF, ANFIS & SOM","          Conference Paper","Shahriar, K., Faculty of Mining & Metallurgical Engineering, Amirkabir University of Technology"
"            2014","          SPE ","          171003-MS ","stimulation","Understanding Multi-Fractured Horizontal Marcellus Completions","          Conference Paper","Shelley, Robert, StrataGen"
"            2015","          SPE ","          173710-MS ","reservoir","Development of a Numerical Scheme for Simulation of Asphaltene Dependent Phenomena in Porous Media","          Conference Paper","Hematfar, V., University of Calgary"
"            2015","          IPTC ","          18257-MS ","stimulation","Sensitivity Analysis and Optimization of Alkaline-Surfactant Flooding in a Thin Clastic Reservoir","          Conference Paper","Ghadami, Nader, Petronas Carigali Sdn. Bhd."
"            2012","          ISRM ","          ARMS7-2012-098 ","stimulation","The Study of Lugeon Test Behavior in Low Permeable Rocks and its Performance in Grouting Programs","          Conference Paper","Hafezquran, Amir, Mahab-Ghodss Consulting Engineers"
"            2012","          SEG ","          2012-0805 ","stimulation","Novel Hybrid ANN Autopicker for Hydrofrac Data: A Comparative Study","          Conference Paper","Maity, Debotyam, University of Southern California"
"            1995","          SPE ","          29534-MS ","production","Using Automation for Optimizing Production Fields","          Conference Paper","Outomuro, M. Vazquez, Corpoven S.A."
"            2004","          SPE ","          87008-MS ","production","From Real Time Data to Production Optimization","          Conference Paper","Oberwinkler, Christian, Decision Team - Software"
"            2008","          SEG ","          2008-2786 ","geophysics","Interpretation of Seismic Data In TheWheeler Domain: Integration With Well Logs, Regional Geology And Analogs","          Conference Paper","Brouwer, Friso, dGB-USA"
"            2002","          SPE ","          78939-MS ","surface","Analysis of Bed Height in Horizontal and Highly-Inclined Wellbores by Using Artificial Neuraletworks","          Conference Paper","Ozbayoglu, Evren M., Middle East Technical University"
"            2004","          SPE ","          87065-MS ","reservoir","Resistivity Data From A Seismic Survey? An Alternative Approach To Assist Inter-well Water Saturation Mapping","          Conference Paper","Widarsono, Bambang, LEMIGAS"
"            2003","          SPE ","          84067-MS ","drilling","Simulated Expert Interpretation of Regional Data to Predict Drilling Risk","          Conference Paper","Balch, R.S., New Mexico Tech"
"            2010","          SPE ","          131886-MS ","drilling","A Study on Drilling Risk Real Time Recognition Technology Based on Fuzzy Reasoning","          Conference Paper","Lian, Zhilong,"
"            2016","          ARMA ","          2016-128 ","drilling","Connection of Elastic and Thermal Properties of Bentheimer Sandstone Using Effective Medium Theory (Rock Physics)","          Conference Paper","Yalaev, T. R., Moscow Institute of Physics and Technology"
"            2006","          ARMA ","          06-981 ","reservoir","A Neuro-Fuzzy Approach for Prediction of Poisson's Ratio and Young's Modulus of Shale and Sandstone","          Conference Paper","Singh, Vasudev,"
"            2005","          SPE ","          94716-MS ","logging","Application of CHI Modeling Using Pulsed Neutron To Create Pseudo-Openhole Logs","          Conference Paper","Reed, Skip, Halliburton Energy Services Group"
"            2008","          SPE ","          116583-MS ","reservoir","Modeling Permeability in Tight Gas Sands Using Intelligent and Innovative Data Mining Techniques","          Conference Paper","Ali, Liaqat, ConocoPhillips Co"
"            2017","          SPE ","          185981-MS ","surface","Diagenetic Facies Characterization for Deep Structures Under the Condition of Sparse Wells","          Conference Paper","Cai, Hua, CNOOC Ltd.-Shanghai"
"            1999","          ISOPE ","          I-99-036 ","drilling","Smart Technology Applications In Offshore Structural Systems: Status And Needs","          Conference Paper","Kanegaonkar, Hari B., Aker Maritime, Aker Offshore Partner"
"            2009","          SEG ","          2009-3530 ","reservoir","Multiattribute-based Net Sand Estimation In Transitional Reservoirs: Barco Formation, Sardinata Field, Colombia","          Conference Paper","Ojeda, Germán Y., Ecopetrol"
"            2012","          ARMA ","          2012-120 ","reservoir","Models For Geomechanical Characterization of the Rock Mass Formations At DUSEL Using Data Mining Techniques","          Conference Paper","Sousa, L.R., State Key Laboratory for Geomechanics and Deep Underground Engineering, University of Porto"
"            2013","          IPTC ","          16668-MS ","reservoir","Case Study: Productivity Evaluation of Ultralow-Permeability Clastic Oil Reservoir Drilled at High Overbalance with Water Based Mud","          Conference Paper","HeShen, Shi, CNOOC Ltd."
"            2015","          SPE ","          172564-MS ","reservoir","Artificial Intelligence Based Estimation of Water Saturation Using Electrical Measurements Data in a Carbonate Reservoir","          Conference Paper","Bageri, B.S., all King Fahd University of Petr. & Min."
"            2013","          SPE ","          164465-MS ","drilling","Improved Permeability Prediction From Seismic and Log Data using Artificial Intelligence Techniques","          Conference Paper","Anifowose, Fatai A., King Fahd University of Petr. & Min."
"            2012","          ISOPE ","          I-12-278 ","production","CPT-Based Liquefaction Assessment By Using Support Vector Machine","          Conference Paper","Lee, Ching-Yinn, Department of Harbor and River Engineering, National Taiwan Ocean University"
"            2014","          SPE ","          167691-MS ","drilling","Modeling of Shale-erosion Behavior in Aqueous Drilling Fluids","          Conference Paper","Maghrabi, Shadaab, Halliburton"
"            2010","          SPE ","          139299-MS ","drilling","Controlling Oil Production in Smart Wells by MPC Strategy With Reinforcement Learning","          Conference Paper","Talavera, Alvaro Gustavo,"
"            2003","          SPE ","          84601-MS ","logging","Asymptotic Dipping and Nonlinear Shoulder Correction of Resistivity Logs","          Conference Paper","Xiao, J., Halliburton"
"            2001","          SPE ","          71455-MS ","reservoir","Permeability Prediction Using Hydraulic Flow Units And Hybrid Soft Computing Systems","          Conference Paper","Soto B., R., ECOPETROL-ICP"
"            2002","          SPE ","          77716-MS ","geophysics","Fast Induction Log Inversion Using Quasi-Newton Updates","          Conference Paper","Gao, L., Halliburton Energy Services"
"            2015","          SPE ","          176468-MS ","drilling","A Self-Adaptive Surrogate-Assisted Evolutionary Algorithm for Well Placement Optimization Problems","          Conference Paper","Sayyafzadeh, Mohammad, The University of Adelaide"
"            2008","          SEG ","          2008-1590 ","geophysics","Seismic Attributes For Stratigraphic Feature Characterization","          Conference Paper","Chopra, Satinder, Arcis Corporation"
"            1996","          SPE ","          36079-MS ","production","An Intelligent System for Diagnostic and Control to Mechanical Pumping System","          Conference Paper","Cirilli, Lorenzo Arditi, Universidad de Oriente"
"            2011","          IPTC ","          15492-MS ","digital|wireless|AVO|pattern|Quantization","Prediction of Solid-Vapor-Liquid Equilibrium in Natural Gas Using ANNs","          Conference Paper","Shuker, Muhannad T.,"
"            2014","          SPE ","          169588-MS ","reservoir","A Production Performance Prediction and Field Development Tool for Coalbed Methane Reservoirs: A Proxy Modeling Approach","          Conference Paper","Rajput, Vaibhav, Pennsylvania State University"
"            2016","          SPE ","          181616-MS ","reservoir","Applying Data-Driven Method to Production Decline Analysis and Forecasting","          Conference Paper","Jia, Xinli, Halliburton"
